Size Idx Append Polo PoloAppend
1000 3572 4852 48757 48434
2000 6792 9715 94318 94170
3000 10036 15292 128711 129434
4000 13749 21101 199032 200667
5000 16376 25390 233970 235018
6000 19917 30040 274652 279641
7000 22568 36054 386740 390079
8000 26090 40311 427591 423689
9000 30345 46625 475228 478494
10000 33133 49945 507819 519622
11000 37405 57838 585372 577353
12000 40486 61746 614215 613339
13000 46701 72143 665338 685169
14000 47860 72495 961925 968554
15000 51796 80946 988922 1005498
16000 55027 83164 1064505 1078806
17000 56008 92579 1104361 1101504
18000 59131 94428 1140789 1142807
19000 64480 100358 1238314 1228910
20000 67019 104005 1270508 1274726
21000 69304 107459 1329808 1324636
22000 72621 111877 1391091 1405389
23000 79464 122573 1435854 1418567
24000 76813 119769 1471536 1471115
25000 86855 133230 1522196 1541941
26000 87030 137186 1600399 1603707
27000 88929 135547 1884713 1892775
28000 92968 152066 1931752 1901990
29000 104719 163399 1984097 1981506
30000 99888 155557 1974119 1987160
31000 115041 179249 2057282 2073560
32000 107200 167287 2088332 2089537
33000 126530 201290 2144329 2191992
34000 117936 189528 2229658 2230243
35000 128802 187979 2263707 2273676
36000 125395 205844 2321009 2316459
37000 128077 192818 2394989 2914463
38000 135528 199505 2440703 2445022
39000 146803 214192 2462911 2523100
40000 141157 228403 2535004 2559690
41000 157682 238220 2591063 2627289
42000 147835 226918 2661537 2652368
43000 148507 235867 2702612 2709394
44000 152642 260154 2807848 2795691
45000 163196 253024 2775408 2791445
46000 165335 260284 2842407 2871787
47000 163600 260325 2915550 2909545
48000 187299 285738 2998087 2997682
49000 201875 298895 3047972 3050823
50000 181791 271831 3076869 3083614
51000 206122 302940 3141522 3143674
52000 189868 291683 3187617 3228860
53000 215680 308933 3253745 3275259
54000 201527 314877 3825106 3807640
55000 209445 293482 3839522 3860626
56000 212142 315801 3887223 3899079
57000 211985 327360 3906480 3956705
58000 217922 333543 3925284 3953254
59000 223475 340952 3974070 3995270
60000 229122 345902 4034276 4073629
61000 232407 357305 4094406 4149329
62000 236683 366496 4266616 4162610
63000 244058 365932 4226118 4215412
64000 249701 379662 4253978 4254012
65000 267411 402958 4321261 4324440
66000 254174 391092 4416467 4380401
67000 265585 395723 4403573 4404544
68000 254845 398743 4477925 4476605
69000 283042 418207 4491895 4524274
70000 279423 420738 4587081 4605722
71000 290852 437594 4678542 4597644
72000 300230 437825 4651039 4684403
73000 289189 432138 4726241 4772744
74000 292722 434891 4822306 4812219
75000 298942 454698 4819948 4932187
76000 312034 465736 4931918 4934060
77000 300117 454081 5022126 5040474
78000 305038 471743 5039247 5099377
79000 310904 472752 5089021 5099673
80000 325417 477861 5154241 5127378
81000 349603 511083 5174090 5224662
82000 335186 491806 5294436 5378201
83000 334987 555418 5306156 5287708
84000 351819 519574 5299102 5365391
85000 340691 516502 5402698 5399216
86000 339068 519694 5477270 5535653
87000 414816 569179 5493025 5550226
88000 356233 539492 5549534 5554422
89000 363910 535678 5656368 5583340
90000 370683 544782 5700964 5652926
91000 364186 554765 6268884 5742671
92000 382677 567718 5748212 5818765
93000 383443 558538 5741276 5831483
94000 422471 571831 5872571 5865328
95000 402359 582577 5936992 5881464
96000 441237 626296 5944596 6011474
97000 459311 598997 6052898 6131182
98000 412224 601455 6102674 6162128
99000 408117 611522 6169182 6163513
100000 427653 623615 6195009 6301684
