Size Idx Append Polo PoloAppend
10000 27770 51022 423849 449992
20000 56736 103912 1075397 1126073
30000 86778 157362 1671005 1666121
40000 120755 213212 2062578 2134025
50000 147487 270225 2628559 2774678
60000 189921 330666 3304280 3323546
70000 226892 390965 3703989 3812181
80000 263910 445521 4093288 4284958
90000 312666 516678 4833355 4716635
100000 338540 559114 5148897 5440280
110000 403283 637348 6133030 6205147
120000 421254 694581 6304051 6600154
130000 528481 803689 6951727 7065686
140000 544612 866262 7424232 7464558
150000 570182 915343 7850585 8785056
160000 592907 966174 8287841 9369150
170000 755178 1143228 8919587 9916360
180000 785632 1185118 9269644 9900698
190000 966973 1409484 9847245 10336014
200000 984413 1460549 11219891 10765548
210000 998474 1491193 10910041 11763400
220000 1031967 1572165 11862366 12698163
230000 1054571 1632349 12724773 13400623
240000 1073042 1688993 13050277 13718270
250000 1085463 1712686 13068233 14074067
260000 1103933 1775701 14011044 14292498
270000 1127064 1808607 14338755 15730175
280000 1151694 1869851 14488536 15276818
290000 1191552 1915750 15525094 15885358
300000 1202009 1974582 17043439 17226448
310000 1229996 2022469 16961826 17352574
320000 1272921 2066678 17162576 17900475
330000 1290089 2127612 17656665 18727121
340000 1316490 2149930 17940793 18731151
350000 1324355 2202158 18850928 21262553
360000 1368698 2304210 18815075 19774516
370000 1394579 2291818 19936408 20291363
380000 1424302 2356965 19954919 21305510
390000 1443887 2388639 21110274 21111729
400000 1476969 2458957 21754443 22086312
410000 1501588 2532195 22074143 21979281
420000 1534428 2540813 22275393 23240412
430000 1542729 2602724 24207285 26444988
440000 1591639 2679372 24987417 25756521
450000 1608207 2726073 25573960 25597002
460000 1614110 2771999 24951403 25898817
470000 1643930 2801412 25398309 26292905
480000 1673930 2868931 26071364 28150567
490000 1694906 2900542 25803596 27548726
500000 1736371 2991263 28565790 28650518
510000 1745363 3008857 28341085 29195378
520000 1763670 3091072 28197221 30281325
530000 1802895 3103564 28405284 30193903
540000 1889723 3287949 28896832 30041503
550000 1871802 3241779 31998509 30761525
560000 1876403 3274033 29496673 31362945
570000 1922535 3331732 30327284 32286090
580000 1939909 3457867 31354545 33506220
590000 1973755 3408080 32389325 32799071
600000 1988461 3479133 30817372 32649274
610000 2111005 3529452 32960487 34098439
620000 2024749 3557134 33334912 34550492
630000 2074273 3648054 34040231 34925638
640000 2089125 3908911 34460789 36265602
650000 2064022 3680956 33949954 35270091
660000 2096680 3714376 34998717 35102928
670000 2140035 3816911 35145690 36878762
680000 2145664 3857476 35472837 37636177
690000 2169633 3890677 36256438 36718447
700000 2179097 3937428 37443640 37049897
710000 2212733 3980822 37134325 38022115
720000 2243503 4058141 37052616 37977687
730000 2301320 4122558 37841856 39716879
740000 2285481 4131423 38756219 39560282
750000 2316751 4177632 39667665 39554846
760000 2332070 4176036 39735973 42986946
770000 2469522 4429235 40495611 42099102
780000 2397635 4331901 41073396 43278121
790000 2449645 4349129 40866245 43965206
800000 2506597 4436144 40990696 43145422
810000 2498105 4477090 42320380 45036408
820000 2491660 4464499 42885002 46948488
830000 2550900 4592733 43736872 45833336
840000 2557613 4626738 45091781 46289488
850000 2564741 4695104 43944291 47499594
860000 2648835 4780710 50749567 50541684
870000 2612971 4719868 49846366 51785409
880000 2669812 4854015 47794272 51069754
890000 2701224 4958810 48616306 49643878
900000 2674093 4903271 51149790 54023431
910000 2695709 4933606 52651927 53914537
920000 2704742 4976099 50827975 53322109
930000 2754094 5013608 53870363 52224592
940000 2803993 5172476 52472947 53893776
950000 2927482 5257552 52399484 53915616
960000 2833599 5191244 54583443 54229176
970000 2857387 5221809 56188971 58477396
980000 2870807 5333855 51737284 57444579
990000 2929148 5435177 50377125 58129128
1000000 2944503 5364556 53345053 59668217
1010000 2933127 5549705 50937523 58794671
1020000 3003810 5470952 50801242 57412866
1030000 3024362 5574699 51888520 60532361
1040000 3048062 5655004 52374243 53948934
1050000 3100214 5694752 55380086 63896160
1060000 3081678 5684650 62328101 57724453
1070000 3134260 5713600 62723959 66858116
1080000 3137919 5844000 63260209 65162016
1090000 3174129 5876446 64203887 65162662
1100000 3172999 5943543 67270026 64021325
1110000 3211795 5946203 63389401 59309063
1120000 3260179 5999415 65045517 72213872
1130000 3261114 6196559 66512453 66302995
1140000 3304890 6021688 71451678 65095393
1150000 3330620 6198547 56940618 71551631
1160000 3356208 6662924 63436412 68473037
1170000 3355876 6173903 69801563 71529936
1180000 3415772 6347902 68103804 69049566
1190000 3431548 6358729 72179631 68435410
1200000 3432801 6414984 66282290 73447585
1210000 3436606 6547499 69358653 69114871
1220000 3590439 6687189 70732692 77324169
1230000 3536350 6484571 71480208 69471426
1240000 3545525 6712206 70179193 72230684
1250000 3560076 6689469 73697331 74043579
1260000 3581440 6694050 76389429 74123109
1270000 3590620 6795027 73367672 77512870
1280000 3635508 6756916 75710714 74074676
1290000 3680029 6834943 74455370 74428741
1300000 3709080 7372288 74220081 76088054
1310000 3960126 7142992 71202394 76158361
