Size IntIdx IntAppend PoloIdx PoloAppend
10000 50137 73401 420806 438457
20000 179326 262734 1074729 1109300
30000 394967 408257 1608598 1640622
40000 471477 567151 2087132 2146564
50000 539746 636709 2575354 2621863
60000 597296 745535 3242377 3327713
70000 722734 899811 3670414 3792542
80000 832798 1007255 4165558 4307999
90000 946884 1108470 4645492 4728096
100000 1015776 1215167 5212187 5309447
110000 1055919 1372001 6034601 6148314
120000 1200036 1466060 6483874 6582253
130000 1264410 1617713 6978866 7035143
140000 1438920 1781571 7895588 7452533
150000 1478901 1880467 7881474 8224200
160000 1707743 2072198 8524095 8656979
170000 1775258 2257784 8980072 9288373
180000 1873447 2209798 9573062 9669263
190000 2020721 2410490 10211578 10194133
200000 2174154 2619649 10601812 10841797
210000 2306221 2835943 11187250 11483940
220000 2375353 2855566 12056702 12858598
230000 2322749 3018335 13014096 13018064
240000 2479004 3109410 13172438 13410853
250000 2623950 3329779 13725908 13969703
260000 2676368 3949260 13984864 14219348
270000 3095408 3734967 14640647 14709164
280000 3300010 3784749 14547706 15488496
290000 3246912 3757262 15321202 15933125
300000 3273266 4144473 15816884 16286323
310000 3658665 4524934 16706740 16876139
320000 3506598 4445595 17490859 17954493
330000 3753229 4701900 17268364 18561910
340000 3882862 4742946 18160233 18473177
350000 3971467 5185397 18327581 19319622
360000 4301972 4852553 19512496 19312358
370000 4223618 5223320 19725659 19881963
380000 4240025 5470268 20393896 20165159
390000 4596204 5757693 20659748 21449146
400000 4678758 6049129 21459800 21387804
410000 4761596 6499994 21481713 21953521
420000 5071622 7323424 22775849 22462447
430000 5443008 6042782 23648948 24296822
440000 5374597 6481326 24178197 24948273
450000 5223916 6454390 24825398 25140133
460000 5557164 7624146 25152591 25512432
470000 6021670 7572795 25644670 27014489
480000 6428200 7494847 25851762 26935092
490000 5677266 8263527 26332449 26918016
500000 5933441 7873072 27242911 27841351
510000 6189276 8302437 27622027 28264429
520000 6262101 8801511 27871646 28470555
530000 7218395 9320663 28963653 30994172
540000 7904144 9362207 29094296 30272322
550000 7677549 8100617 29227160 30565016
560000 7990516 9220587 30247522 30931755
570000 7461053 8955155 30381563 31179442
580000 6665546 8590574 31777479 31335552
590000 7643820 8961556 31629445 32775697
600000 8556107 10970347 33383872 33405044
610000 9220879 11698542 32329101 33588877
620000 8520248 10969655 33496756 33993531
